"con_storm_start","con_storm_end","con_TP_load","trt_storm_start","trt_storm_end","trt_TP_load","bmp","period","veggieTime","eventId","con_SS_load","trt_SS_load"
2014-05-07 01:57:00,"5/9/2014 22:50",283.2693,2014-05-07 03:14:00,"5/8/2014 5:03",235.979,1,"treatment",1,35,12.7555,75.9965
2014-05-11 17:52:00,"5/15/2014 7:47",211.1957,2014-05-11 17:51:00,"5/15/2014 23:12",106.6529,1,"treatment",1,36,11.8105,45.3717
2014-06-01 20:20:00,"6/4/2014 7:50",94.2112,2014-06-01 20:05:00,"6/4/2014 21:32",40.1163,1,"treatment",1,37,88.2494,25.7896
2014-06-17 01:47:00,"6/18/2014 2:15",40.7022,2014-06-17 00:25:00,"6/18/2014 2:13",11.7124,1,"treatment",1,38,1.0649,2.6407
2014-06-18 03:20:00,"6/19/2014 17:06",1169.9541,2014-06-18 03:10:00,"6/19/2014 18:58",479.2299,1,"treatment",1,39,230.664,88.2269
2014-06-20 09:13:00,"6/22/2014 4:37",135.0198,2014-06-20 08:43:00,"6/21/2014 20:52",83.2738,1,"treatment",1,40,6.9519,19.5099
2014-06-23 07:00:00,"6/24/2014 2:40",37.344,2014-06-23 06:26:00,"6/24/2014 2:39",29.6484,1,"treatment",1,41,1.7011,6.3776
2014-06-24 12:47:00,"6/24/2014 23:50",297.474,2014-06-24 15:46:00,"6/25/2014 7:42",107.9461,1,"treatment",1,42,113.5619,27.874
2014-07-12 20:45:00,"7/14/2014 0:47",15.9956,2014-07-12 20:30:00,"7/14/2014 17:45",52.6081,1,"treatment",1,43,1.1912,16.6883
2014-08-12 00:36:00,"8/13/2014 23:04",4.7299,2014-08-11 16:34:00,"8/14/2014 16:56",6.7813,1,"treatment",1,44,0.1844,0.4289
2014-08-18 18:52:00,"8/20/2014 15:25",93.5811,2014-08-18 18:55:00,"8/21/2014 11:43",48.0307,1,"treatment",1,45,11.5571,4.5845
2015-04-09 03:58:00,"4/10/2015 12:30",1428.45,2015-04-09 04:03:00,"4/10/2015 20:05",501.0109,1,"treatment",0,46,511.8904,148.1136
2015-05-24 16:00:00,"5/26/2015 5:53",64.568,2015-05-24 16:01:00,"5/26/2015 11:38",54.0561,1,"treatment",1,47,4.1247,8.7725
2015-05-30 00:44:00,"5/31/2015 22:19",112.723,2015-05-30 00:22:00,"5/31/2015 20:04",60.9698,1,"treatment",1,48,9.1596,9.6435
2015-06-11 23:31:00,"6/12/2015 21:24",520.4176,2015-06-11 22:27:00,"6/13/2015 6:26",153.4375,1,"treatment",1,49,54.2152,32.5311
2015-06-14 01:34:00,"6/15/2015 4:04",149.5371,2015-06-14 01:11:00,"6/14/2015 22:30",83.6135,1,"treatment",1,50,14.6564,16.297
2015-06-15 17:01:00,"6/16/2015 23:57",196.8923,2015-06-15 16:44:00,"6/16/2015 4:36",58.2105,1,"treatment",1,51,19.726,13.5693
2015-11-17 15:35:00,"11/19/2015 17:30",152.54595,2015-11-17 15:55:00,"11/19/2015 18:35",84.78312,1,"treatment",0,52,7.410382,11.652673
