"response","rsq","pval_period_int","pval_period_slope","intercept","slope","int_period_before","slope_period_before","mean_event_pct_change","total_pct_change"
"TP load (pounds)",0.67,0.81,0.9,0.234,0.806,0.013,-0.019,NA,NA
"SS load (pounds)",0.63,0.89,0.31,0.698,0.595,-0.133,0.14,NA,NA
