"unique_storm_id","Suspended_Sediment_mg_L","Chloride_mg_L","NO2_NO3_N_mg_L","Ammonium_N_mg_L","TKN_Unfiltered_mg_L","Dissolved_Reactive_Phosphorus_mg_L","TP_Unfiltered_mg_L","Total_Nitrogen_computed_mg_L","Organic_Nitrogen_computed_mg_L","Suspended_Sediment_Load_pounds","Chloride_Load_pounds","NO2_NO3_N_Load_pounds","Ammonium_N_Load_pounds","TKN_Unfiltered_Load_pounds","Dissolved_Reactive_Phosphorus_Load_pounds","TP_Unfiltered_Load_pounds","Total_Nitrogen_load_pounds","Organic_Nitrogen_Load_pounds","sum_runoff","Flag_Suspended_Sediment","Flag_Chloride","Flag_NO2_NO3_N_","Flag_Ammonium_N_","Flag_TKN_Unfiltered","Flag_Dissolved_Reactive_Phosphorus_","Flag_TP_Unfiltered","frozen","comments","site","water_year","sample_start","sample_end","storm_start","storm_end","peak_discharge","rain","duration","Ievent","I5","I10","I15","I30","I60","energy","erosivity_m1","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","ant_discharge_date","ant_dis_1day_mean","ant_dis_1day_max","ant_dis_2day_mean","ant_dis_2day_max","ant_dis_7day_mean","ant_dis_7day_max","ant_dis_14day_mean","ant_dis_14day_max"
"32",11906,8.5,7,0.03,30.4,0.148,9.52,37.4,30.37,25340.65277288,18.09134458,14.89875436,0.0638518044,64.703161792,0.31500223504,20.2623059296,79.601916152,64.6393099876,34093.44,"HT",NA,NA,NA,NA,NA,NA,"FALSE","Komiskey, Matthew J.:times were off on split, not split correctly","SW1","WY12","2012-05-02 23:57:00","2012-05-03 09:49:59","2012-05-02 23:55:59","2012-05-03 09:49:59",8.0948,2.986,11.5,0.259652173913043,8.148,5.34,3.74,1.996,1.068,2787.19681995111,55.6324485262241,54.4389079175326,0.505,0.505,0.784,2.278,"2012-04-18 23:55:00",0.0266958118343195,0.227012,0.0170248762264151,0.227012,0.00603371952506596,0.227012,0.0227711366815003,0.612392
"EST1-11",115,35.3,7.2,0.14,4.44,1.144,1.767,11.64,4.3,62.4008722,19.154354684,3.906837216,0.0759662792,2.4092162832,0.62075302432,0.95880296676,6.3160534992,2.333250004,8691.84,"HT",NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY12","2012-08-09 07:41:59","2012-08-10 15:45:00","2012-08-09 07:39:59","2012-08-10 16:00:00",0.4199,1.08,10.95,0.0986301369863014,0.324,0.27,0.252,0.234,0.207,559.699067935009,1.30969581896792,1.56788025588247,0,0,1.201,2.222,"2012-07-26 00:39:00",0,0,0,0,0.0136164769279736,0.748366,0.013788351061632,0.748366
"SW1-1",275,13.4,2.7,0.57,3.21,0.298,0.731,5.91,2.64,26.8476395,1.308212252,0.263595006,0.0556478346,0.3133851738,0.02909307844,0.07136590718,0.5769801798,0.2577373392,1563.84,NA,NA,NA,NA,NA,NA,NA,"TRUE",NA,"SW1","WY12","2012-01-31 12:00:00","2012-01-31 20:15:00","2012-01-31 12:00:00","2012-01-31 21:00:00",0.0903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SW1-10",8700,14.8,4,0.19,26.4,0.188,14.76,30.4,26.21,6968.51991,11.85449364,3.2039172,0.152186067,21.14585352,0.1505841084,11.822454468,24.34977072,20.993667453,12830.4,"HT",NA,NA,NA,NA,NA,NA,"FALSE","Komiskey, Matthew J.:times were off on split, split incorrectly","SW1","WY12","2012-05-06 09:20:00","2012-05-07 18:15:00","2012-05-06 09:15:00","2012-05-07 18:29:59",1.426,0.774,3.41666666666667,0.226536585365854,0.540000000000001,0.486,0.504,0.432,0.378,518.153878810794,2.23842475646263,2.42604709702658,0,0.0899999999999999,3.86,3.86,"2012-04-22 08:50:00",0,0,0.00266176126527054,0.0270358,0.329124569313343,8.434384,0.264793065363789,8.434384
"SW1-1042",7,43.5,2.7,0.27,1.34,0.43,0.471,4.04,1.07,6.2109607,38.59668435,2.39565627,0.239565627,1.188955334,0.381530443,0.4179089271,3.584611604,0.949389707,14212.8,NA,NA,NA,NA,NA,NA,NA,"TRUE","Komiskey, Matthew J.:Sampler head was not reset properly for this event. Got one sample on the tail end. See what it looks like to use for the estimate.","SW1","WY16","2016-02-29 18:54:00",NA,"2016-02-27 12:29:59","2016-02-29 20:12:59",0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SW1-1054",34,33.2,2.1,0.45,1.52,0.327,0.425,3.62,1.07,0.78857356,0.770018888,0.048706014,0.010437003,0.0352538768,0.00758422218,0.0098571695,0.0839598908,0.0248168738,371.52,NA,NA,NA,NA,NA,NA,NA,"TRUE",NA,"SW1","WY16","2016-03-06 17:53:59",NA,"2016-03-06 13:59:59","2016-03-06 19:59:59",0.0334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SW1-11",839,347,118,9.6,34.7,1.23,3.63,152.7,25.1,71.04875174,29.38488302,9.99255388,0.812953536,2.938488302,0.1041596718,0.3073980558,12.931042182,2.125534766,1356.48,"HT",NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY12","2012-06-18 17:46:59","2012-06-19 06:15:00","2012-06-18 17:46:00","2012-06-19 06:29:59",0.1564,0.492,1.66666666666667,0.2952,1.56,1.218,0.884,0.586,0.393,419.426745805181,2.45784073041836,2.39958841889872,1.176,1.176,1.49,1.49,"2012-06-04 17:27:00",0.0104102915422886,0.0487554,0.00704534882154882,0.0487554,0.00274387036569987,0.0487554,0.00148524860068259,0.0487554
"SW1-12",2881,17.2,6.1,0.44,9.8,0.337,3.07,15.9,9.36,130.53211752,0.779296224,0.276378312,0.0199354848,0.444017616,0.01526876904,0.1390953144,0.720395928,0.4240821312,725.76,NA,NA,NA,NA,NA,"Q",NA,"FALSE",NA,"SW1","WY12","2012-07-17 15:42:59","2012-07-17 17:12:00","2012-07-17 15:38:59","2012-07-17 17:15:00",0.7549,1.532,1.11666666666667,1.37194029850746,4.584,3.612,3.336,2.758,1.523,1605.0777580985,44.2680445683566,43.0304279609196,0,0,0,0.265,"2012-07-03 15:32:00",0,0,0,0,0,0,0.00157425502494654,0.115301
"SW1-1284",2690,3.4,0.6,0.71,12.6,0.405,3.6,13.2,11.89,30.4695762,0.038511732,0.006796188,0.0080421558,0.142719948,0.0045874269,0.040777128,0.149516136,0.1346777922,181.44,NA,NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY16","2016-09-13 04:20:00",NA,"2016-09-13 04:16:00","2016-09-13 04:23:00",1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SW1-1286",2220,1.3,0.5,0.39,9.3,0.418,3,9.8,8.91,58.6737564,0.034358506,0.01321481,0.0103075518,0.245795466,0.01104758116,0.07928886,0.259010276,0.2354879142,423.36,NA,NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY16","2016-09-13 04:25:00",NA,"2016-09-13 04:23:00","2016-09-13 04:25:59",3.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
