"unique_storm_number","sin_sdate","cos_sdate","tmax","tmin","prcp","snow","snwd","snwd_diff"
180,-0.0688024268023225,0.997630305306585,7.2,-6.6,0.33858286,0,5.511814,-5.905515
183,0.35367612217637,0.935367949313149,3.9,0.6,0.18110246,0,3.41207533333333,-0.787402
184,0.369724542890671,0.929141411403175,4.4,1.7,0.01181103,0,2.5590565,-1.181103
185,0.385663406243604,0.922639548840489,6.7,0.6,0.42913409,2.5196864,0.787402,-3.149608
188,0.711656622281772,0.70252747416916,7.2,-1.6,0,0,0,-1.181103
189,0.746972087696554,0.664855397964288,11.1,-2.1,0,0,0,0
190,0.758305808478558,0.651898995878718,13.9,3.3,0,0,0,0
191,0.769414826883935,0.63874942205153,15,0,0.21259854,0,0,0
194,0.8587639582758,0.512371412128428,5,-7.1,0.6299216,5.905515,0.5905515,-3.149608
195,0.899630869652242,0.436651231956068,15,-0.5,0.18110246,0,1.70603766666667,-5.118113
196,0.914127988185332,0.405425728360002,15,1.7,0.14173236,0,0,0
198,0.992222209417932,0.124479263886793,5,1.7,0.68110273,0,0,0
199,0.994217906893952,0.107381346664164,6.7,1.7,0.42126007,0,0,0
200,0.999768501979891,0.021516097436229,11.1,0,0.33858286,0.1181103,0,0
201,0.997917160865393,-0.0645084494493103,16.7,3.3,0.36220492,0,0,0
202,0.967937783024065,-0.251190063884818,23.3,10,1.181103,0,0,0
203,0.96347054856415,-0.267814305162169,23.3,7.8,1.20078805,0,0,0
204,0.942761143390421,-0.333468778918187,8.9,5,0.96850446,0,0,0
205,0.895839290734909,-0.444378178104613,10.6,3.3,0.90944931,0,0,0
206,0.863142128049913,-0.504961054721518,13.3,3.9,0.6299216,0,0,0
207,0.863142128049913,-0.504961054721518,13.3,3.9,0.66141768,0,0,0
208,0.440518784350501,-0.897743393534231,30,14.4,0.48818924,0,0,0
209,0.145799196919877,-0.989314203970366,25,16.1,0.55905542,0,0,0
210,0.145799196919877,-0.989314203970366,25.6,15.6,0.57086645,0,0,0
211,-0.111659007121688,-0.993746580436179,27.8,10.6,0.18110246,0,0,0
212,-0.263665492728006,-0.964614175691244,28.3,12.2,0.87007921,0,0,0
213,-0.545240438540648,-0.838279705217776,20,11.7,1.20078805,0,0,0
214,-0.559589262410176,-0.828770087174504,20,11.7,0.5905515,0,0,0
