"unique_storm_number","sub_storms","Suspended_Sediment_mg_L","Chloride_mg_L","NO2_NO3_N_mg_L","Ammonium_N_mg_L","TKN_Unfiltered_mg_L","Dissolved_Reactive_Phosphorus_mg_L","TP_Unfiltered_mg_L","Total_Nitrogen_computed_mg_L","Organic_Nitrogen_computed_mg_L","Suspended_Sediment_Load_pounds","Chloride_Load_pounds","NO2_NO3_N_Load_pounds","Ammonium_N_Load_pounds","TKN_Unfiltered_Load_pounds","Dissolved_Reactive_Phosphorus_Load_pounds","TP_Unfiltered_Load_pounds","Total_Nitrogen_load_pounds","Organic_Nitrogen_Load_pounds","sum_runoff","Flag_Suspended_Sediment","Flag_Chloride","Flag_NO2_NO3_N_","Flag_Ammonium_N_","Flag_TKN_Unfiltered","Flag_Dissolved_Reactive_Phosphorus_","Flag_TP_Unfiltered","frozen","comments","site","water_year","sample_start","sample_end","storm_start","storm_end","peak_discharge"
91,"ESW3-55",2510,4.5,11.6,2.45,19.9,0.272,4.8,31.5,17.45,288.3687294,0.51699573,1.332700104,0.281475453,2.286270006,0.03124951968,0.551462112,3.61897011,2.004794553,1840.32,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-06-30 16:23:59","2016-06-30 20:08:00","2016-06-30 16:23:59","2016-06-30 20:08:00",0.447
92,"ESW3-56",1610,1.7,5.6,0.3,10,0.156,3.2,15.6,9.7,39.078081,0.04126257,0.13592376,0.00728163,0.242721,0.0037864476,0.07767072,0.37864476,0.23543937,388.8,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-07-17 07:48:59","2016-07-17 10:14:59","2016-07-17 07:48:59","2016-07-17 10:14:59",0.2207
95,"ESW3-57",1590,0.6,1.1,0.04,8.21,0.22,2.9,9.31,8.17,222.1220778,0.083819652,0.153669362,0.0055879768,1.1469322382,0.0307338724,0.405128318,1.3006016002,1.1413442614,2237.76,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-07-29 02:10:59","2016-07-29 04:02:59","2016-07-29 02:10:59","2016-07-29 04:02:59",1.0689
101,"ESW3-58",1500,0.5,2.2,0.22,8.66,0.173,2.8,10.86,8.44,28.31745,0.00943915,0.04153226,0.004153226,0.163486078,0.0032659459,0.05285924,0.205018338,0.159332852,302.4,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-08-21 11:28:59","2016-08-21 13:00:00","2016-08-21 11:28:59","2016-08-21 13:00:00",0.271
103,"ESW3-59",67400,0.5,1.3,0.12,16.3,0.217,6.7,17.6,16.18,1890.419024,0.01402388,0.036462088,0.0033657312,0.457178488,0.00608636392,0.187919992,0.493640576,0.4538127568,449.28,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-08-24 02:23:00","2016-08-24 03:45:00","2016-08-24 02:23:00","2016-08-24 03:45:00",0.4104
104,"ESW3-60",349,0.5,1.6,0.12,3.11,0.195,1.5,4.71,2.99,3.20014154,0.00458473,0.014671136,0.0011003352,0.0285170206,0.0017880447,0.01375419,0.0431881566,0.0274166854,146.88,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-08-27 09:02:00","2016-08-27 10:30:00","2016-08-27 09:02:00","2016-08-27 10:30:00",0.1036
105,"ESW3-61",2190,1,0.6,0.12,9.18,0.304,4,9.78,9.06,226.7985024,0.10356096,0.062136576,0.0124273152,0.9506896128,0.03148253184,0.41424384,1.0128261888,0.9382622976,1658.88,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-09-06 16:16:59","2016-09-06 17:44:59","2016-09-06 16:16:59","2016-09-06 17:17:59",1.172
106,"ESW3-62",796,1.6,0.9,0.06,4.84,0.57,2.3,5.74,4.78,117.64093552,0.236464192,0.133011108,0.0088674072,0.7153041808,0.0842403684,0.339917276,0.8483152888,0.7064367736,2367.36,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-09-06 19:11:00","2016-09-06 21:29:59","2016-09-06 19:11:00","2016-09-06 21:29:59",1.242
107,"ESW3-63",244,2.3,2.3,0.06,3.15,0.267,1,5.45,3.09,3.55343544,0.033495498,0.033495498,0.0008737956,0.045874269,0.00388839042,0.01456326,0.079369767,0.0450004734,233.28,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-09-06 22:32:00","2016-09-07 01:45:00","2016-09-06 22:32:00","2016-09-07 01:45:00",0.0703
113,"ESW3-64",12300,14.5,0.05,0.06,72.7,0.487,34,72.75,72.64,915.543612,1.07929938,0.003721722,0.0044660664,5.411383788,0.03624957228,2.53077096,5.41510551,5.4069177216,1192.32,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-09-16 14:44:59","2016-09-16 18:29:59","2016-09-16 14:44:59","2016-09-16 18:29:59",0.5486
115,"ESW3-65",3550,14,1.6,0.12,24.5,0.507,8.9,26.1,24.38,5554.831899,21.90637932,2.503586208,0.1877689656,38.33616381,0.79332387966,13.926198282,40.839750018,38.1483948444,25064.64,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-09-21 22:32:00","2016-09-22 15:15:00","2016-09-21 22:32:00","2016-09-22 15:15:00",2.585
117,"ESW3-66",96,25.3,3.3,0.08,2.92,0.203,0.578,6.22,2.84,6.78324288,1.787667134,0.233173974,0.0056527024,0.2063236376,0.01434373234,0.04084077484,0.4394976116,0.2006709352,1131.84,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2016-10-26 08:12:59","2016-10-27 00:00:00","2016-10-26 08:12:59","2016-10-27 00:00:00",NA
118,"ESW3-67",217,10.9,0.2,0.04,2.98,0.134,0.841,3.18,2.94,8.7784095,0.44094315,0.0080907,0.00161814,0.12055143,0.005420769,0.0340213935,0.12864213,0.11893329,648,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2016-11-28 01:09:00","2016-11-28 06:45:00","2016-11-28 01:09:00","2016-11-28 06:45:00",NA
119,"ESW3-68",106,7.6,0.05,0.04,2.01,0.145,0.506,2.06,1.97,18.41011816,1.319970736,0.008684018,0.0069472144,0.3490975236,0.0251836522,0.08788226216,0.3577815416,0.3421503092,2782.08,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2016-11-28 15:00:00","2016-11-29 04:45:00","2016-11-28 15:00:00","2016-11-29 04:45:00",NA
121,"ESW3-69",30,3.7,0.2,0.17,0.97,0.135,0.237,1.17,0.8,1.294512,0.15965648,0.00863008,0.007335568,0.041855888,0.005825304,0.0102266448,0.050485968,0.03452032,691.2,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2016-12-26 05:15:00","2016-12-26 17:26:59","2016-12-26 05:15:00","2016-12-26 17:26:59",NA
123,"ESW3-70a",20,6.3,0.05,0.52,1.74,0.205,0.337,1.79,1.22,10.0756184,3.173819796,0.025189046,0.2619660784,0.8765788008,0.1032750886,0.16977417004,0.9017678468,0.6146127224,8069.76,"NA","NA","NA","NA","NA","NA","NA","TRUE","NA","SW3","WY17","2017-01-16 23:30:00","2017-01-20 03:20:59","2017-01-16 23:30:00","2017-01-20 03:20:59",NA
124,"ESW3-70b,ESW3-70c",15.1315657828914,4.42556278139069,0.13064032016008,0.518984492246123,1.9103751875938,0.379387193596798,0.510214107053527,2.04101550775388,1.39139069534767,32.63033248,9.543466092,0.281718174,1.119159562,4.1196118384,0.8181261902,1.10024674168,4.4013300124,3.0004522764,34542.72,"NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","TRUE, TRUE","NA, Komiskey, Matthew J.:only two samples taken, one frozen and this one was 60% full","SW3","WY17","2017-01-20 03:20:59","2017-01-24 07:45:00","2017-01-20 03:20:59","2017-01-24 07:45:00",NA
129,"ESW3-71",61,3.3,0.05,0.94,2.4,0.277,0.476,2.45,1.46,12.20670878,0.660362934,0.010005499,0.1881033812,0.480263952,0.05543046446,0.09525235048,0.490269451,0.2921605708,3205.44,"NA","NA","NA","NA","NA","NA","NA","TRUE","Komiskey, Matthew J.:will not entirely represent the storm, need to check","SW3","WY17","2017-02-14 10:59:59","2017-02-14 19:30:00","2017-02-14 10:59:59","2017-02-14 19:30:00",NA
130,"ESW3-72",49,2.6,0.05,0.42,1.64,0.188,0.351,1.69,1.22,9.27679662,0.492238188,0.009466119,0.0795153996,0.3104887032,0.03559260744,0.06645215538,0.3199548222,0.2309733036,3032.64,"NA","NA","NA","NA","NA","NA","NA","TRUE","NA","SW3","WY17","2017-02-17 11:15:00","2017-02-17 19:59:59","2017-02-17 11:15:00","2017-02-17 19:59:59",NA
132,"ESW3-73",21,4,0.05,0.36,1.57,0.084,0.211,1.62,1.21,1.4725074,0.2804776,0.00350597,0.025242984,0.110087458,0.0058900296,0.0147951934,0.113593428,0.084844474,1123.2,"NA","NA","NA","NA","NA","NA","NA","TRUE","NA","SW3","WY17","2017-02-18 07:30:00","2017-02-18 18:00:00","2017-02-18 07:30:00","2017-02-18 18:00:00",NA
135,"ESW3-74",21,6.1,0.7,0.17,1.07,0.074,0.176,1.77,0.9,1.21198686,0.352053326,0.040399562,0.0098113222,0.0617536162,0.00427081084,0.01015760416,0.1021531782,0.051942294,924.48,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-02-28 13:45:00","2017-02-28 22:14:59","2017-02-28 13:45:00","2017-02-28 22:14:59",NA
137,"ESW3-75",9,4,0.1,0.08,0.86,0.065,0.109,0.96,0.78,1.41263622,0.62783832,0.015695958,0.0125567664,0.1349852388,0.0102023727,0.01710859422,0.1506811968,0.1224284724,2514.24,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-03-06 02:15:00","2017-03-06 20:15:00","2017-03-06 02:15:00","2017-03-06 20:15:00",NA
138,"ESW3-76",1358,4.5,0.2,0.16,9.4,0.077,3.07,9.6,9.24,126.71870092,0.41990733,0.018662548,0.0149300384,0.877139756,0.00718508098,0.2864701118,0.895802304,0.8622097176,1494.72,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-03-07 00:29:59","2017-03-07 07:00:00","2017-03-07 00:29:59","2017-03-07 07:00:00",NA
140,"ESW3-77",456,9.1,9.8,8.94,14.9,0.13,1.41,24.7,5.96,23.5794461833333,0.470554737430556,0.506751255694444,0.462281247541667,0.770468745902778,0.00672221053472222,0.0729101296458333,1.27722000159722,0.308187498361111,828.3,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-03-26 10:09:59","2017-03-26 18:15:00","2017-03-26 10:09:59","2017-03-27 00:45:00",NA
141,"ESW3-78",198,8.4,10.3,4.31,8.5,0.063,0.679,18.8,4.19,1.4944197125,0.0633996241666667,0.0777400153472222,0.0325300452569444,0.0641543815972222,0.00047549718125,0.00512480295347222,0.141894396944444,0.0316243363402778,120.9,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-03-30 11:15:00","2017-03-30 18:45:00","2017-03-30 11:15:00","2017-03-30 18:45:00",NA
143,"ESW3-79",79,8.9,20.6,2.79,4.66,0.036,0.32,25.26,1.87,0.924718315972222,0.104177126736111,0.241129079861111,0.0326577734375,0.0545466753472222,0.000421390625,0.00374569444444444,0.295675755208333,0.0218889019097222,187.5,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-04-04 04:36:00","2017-04-04 11:44:59","2017-04-04 04:36:00","2017-04-04 11:44:59",NA
145,"ESW3-80",2321,1.6,2.9,0.13,14.9,0.064,4.69,17.8,14.77,612.6490420875,0.42233454,0.76548135375,0.034314681375,3.93299040375,0.0168933816,1.237968120375,4.6984717575,3.898675722375,4228.2,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-04-16 00:04:00","2017-04-16 07:14:59","2017-04-16 00:04:00","2017-04-16 07:14:59",NA
146,"ESW3-81",511,2.4,2,0.1,4.66,0.044,1.32,6.66,4.56,57.1535288527778,0.268431446666667,0.223692872222222,0.0111846436111111,0.521204392277778,0.00492124318888889,0.147637295666667,0.7448972645,0.510019748666667,1791.6,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-04-20 01:36:00","2017-04-20 09:45:00","2017-04-20 01:36:00","2017-04-20 09:45:00",NA
147,"ESW3-82",47,2.3,1.8,0.08,1.62,0.019,0.209,3.42,1.54,2.03511070555556,0.0995905238888889,0.07794041,0.00346401822222222,0.070146369,0.000822704327777778,0.00904974760555556,0.148086779,0.0666823507777778,693.6,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-04-27 05:48:59","2017-04-27 13:45:00","2017-04-27 05:48:59","2017-04-27 13:45:00",NA
148,"ESW3-83",98,0.25,0.05,0.04,1.4,0.042,0.322,1.45,1.36,33.0260126583333,0.0842500322916667,0.0168500064583333,0.0134800051666667,0.471800180833333,0.014154005425,0.108514041591667,0.488650187291667,0.458320175666667,5398.2,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-05-01 00:11:59","2017-05-01 11:30:00","2017-05-01 00:11:59","2017-05-01 11:30:00",NA
152,"ESW3-84",787,78.5,0.05,19.1,50.1,1.27,6.56,50.15,31,87.0319120414215,8.68107381861701,0.00552934638128472,2.11221031765076,5.54040507404729,0.140445398084632,0.725450245224556,5.54593442042858,3.42819475639653,1771.4247,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-06-03 06:08:00","2017-06-03 10:45:00","2017-06-03 06:08:00","2017-06-03 10:45:00",NA
153,"ESW3-85",1552,39.2,0.05,2.46,26.5,2.14,8.28,26.55,24.04,1515.23456439574,38.2713884821606,0.0488155465333681,2.40172488944171,25.8722396626851,2.08930539162815,8.08385450592575,25.9210552092184,23.4705147732434,15638.9307,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-06-03 20:51:59","2017-06-04 05:15:00","2017-06-03 20:51:59","2017-06-04 05:15:00",NA
154,"ESW3-86",513,25.5,3.7,2.59,10.6,0.943,2.44,14.3,8.01,60.0145851291562,2.98318113215104,0.432853732900347,0.302997613030243,1.24006745101181,0.110319208141899,0.285449488723472,1.67292118391215,0.937069837981562,1873.9515,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-06-12 19:48:59","2017-06-13 00:15:00","2017-06-12 19:48:59","2017-06-13 00:15:00",NA
155,"ESW3-87",683,28.3,3,1.07,9.86,0.906,2.66,12.86,8.79,125.37547346685,5.194913468685,0.55069754085,0.1964154562365,1.809959250927,0.1663106573367,0.488285152887,2.360656791777,1.6135437946905,2940.4296,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-06-14 15:58:59","2017-06-14 21:00:00","2017-06-14 15:58:59","2017-06-14 21:00:00",NA
156,"ESW3-88",1267,17.1,1.4,0.29,11.7,0.44,3.31,13.1,11.41,60.9452365876715,0.822544234924375,0.0673428028593056,0.0139495805922847,0.562793423895625,0.0211648808986389,0.159217626760215,0.630136226754931,0.54884384330334,770.5167,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-06-18 05:05:00","2017-06-18 09:00:00","2017-06-18 05:05:00","2017-06-18 09:00:00",NA
160,"ESW3-89a",1821,10.5,1.5,0.59,13.5,1.05,5.03,15,12.91,1024.54386398343,5.9075840592125,0.8439405798875,0.331949961422417,7.5954652189875,0.59075840592125,2.83001407788942,8.439405798875,7.26351525756508,9012.3804,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-06-22 01:54:59","2017-06-22 04:30:59","2017-06-22 01:54:59","2017-06-22 04:30:59",NA
161,"ESW3-89b",1747,8.8,1.2,0.43,12.7,1.19,5.05,13.9,12.27,1164.05785371707,5.86359995003445,0.799581811368333,0.286516815740319,8.46224083698153,0.79291862960693,3.3649067895084,9.26182264834986,8.17572402124121,10673.3454,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-06-22 04:30:59","2017-06-22 10:59:59","2017-06-22 04:30:59","2017-06-22 10:59:59",NA
162,"ESW3-90a,ESW3-90b",254.75823128763,11.5309660540858,0.153550918871366,0.327926875837357,4.84295558941744,2.13701824891178,3.05102348124593,4.99650650828881,4.51502871358009,324.107578396275,14.6698831494864,0.195349984274826,0.41719392178816,6.16128711693958,2.71874948315781,3.88156185234437,6.35663710121441,5.74409319515142,20378.859,"NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","FALSE, FALSE","Ennis, Ryan Patrick:Event ended at 14:15, Danz, Mari E.:Is QWDATA as:06/03/17 05:53","SW3","WY17","2017-06-22 17:03:59","2017-06-23 10:59:59","2017-06-22 17:03:59","2017-06-23 10:59:59",NA
165,"ESW3-91",2580,7.3,10.9,0.94,16.4,0.674,5.17,27.3,15.46,3648.334415673,10.322806680005,15.413505864665,1.329238120439,23.19096295234,0.9530920140169,7.3108096624145,38.604468817005,21.861724831901,22651.3368,"NA","NA","NA","NA","NA","NA","NA","FALSE","Ennis, Ryan Patrick:Event start time was changed to 15:51 after splitting record ran;Danz, Mari E.:In QWDATA as:06/14/17 15:45","SW3","WY17","2017-07-07 16:54:00","2017-07-07 22:14:59","2017-07-07 16:54:00","2017-07-07 22:14:59",NA
166,"ESW3-92",1432,10.2,45.1,34.7,86.4,0.611,3.11,131.5,51.7,807.632445023311,5.75268920337833,25.4359101051336,19.5704230742381,48.72866148744,0.344597363065114,1.75400621789281,74.1645715925736,29.1582384132019,9034.1988,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY17","2017-07-15 20:48:59","2017-07-16 00:00:00","2017-07-15 20:48:59","2017-07-16 00:00:00",NA
169,"ESW3-93",1188,1.4,12.5,0.63,9.4,0.337,2.52,21.9,8.77,226.46287993725,0.2668754477375,2.38281649765625,0.120093951481875,1.7918780062375,0.0642407327768125,0.4803758059275,4.17469450389375,1.67178405475563,3053.511,"NA","NA","NA","NA","NA","NA","NA","FALSE","Ennis, Ryan Patrick:Sample incorrect. Contains bottles 1716, 1718, from following event.","SW3","WY17","2017-08-03 11:15:59","2017-08-03 19:30:00","2017-08-03 11:15:59","2017-08-03 19:30:00",NA
170,"ESW3-94",162,4,28.4,1.01,3.7,0.352,0.817,32.1,2.69,13.2336859402125,0.326757677536111,2.31997951050639,0.0825063135778681,0.302250851720903,0.0287546756231778,0.0667402556367507,2.62223036222729,0.219744538143035,1308.5331,"NA","NA","NA","NA","NA","NA","NA","FALSE","Danz, Mari E.:Danz, Mari E.:In QWDATA as:06/22/17 16:45","SW3","WY17","2017-08-04 08:59:00","2017-08-04 15:29:59","2017-08-04 08:59:00","2017-08-04 15:29:59",NA
