"unique_storm_number","sub_storms","Suspended_Sediment_mg_L","Chloride_mg_L","NO2_NO3_N_mg_L","Ammonium_N_mg_L","TKN_Unfiltered_mg_L","Dissolved_Reactive_Phosphorus_mg_L","TP_Unfiltered_mg_L","Total_Nitrogen_computed_mg_L","Organic_Nitrogen_computed_mg_L","Suspended_Sediment_Load_pounds","Chloride_Load_pounds","NO2_NO3_N_Load_pounds","Ammonium_N_Load_pounds","TKN_Unfiltered_Load_pounds","Dissolved_Reactive_Phosphorus_Load_pounds","TP_Unfiltered_Load_pounds","Total_Nitrogen_load_pounds","Organic_Nitrogen_Load_pounds","sum_runoff","Flag_Suspended_Sediment","Flag_Chloride","Flag_NO2_NO3_N_","Flag_Ammonium_N_","Flag_TKN_Unfiltered","Flag_Dissolved_Reactive_Phosphorus_","Flag_TP_Unfiltered","frozen","comments","site","water_year","sample_start","sample_end","storm_start","storm_end","peak_discharge","rain_startdate","rain_enddate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","ant_dis_1day_max","ant_dis_2day_mean","ant_dis_2day_max","ant_dis_3day_mean","ant_dis_3day_max","ant_dis_7day_mean","ant_dis_7day_max","ant_dis_14day_mean","ant_dis_14day_max","sin_sdate","cos_sdate","tmax","tmin","prcp","snow","snwd","snwd_diff","period","period_crop","days_since_planting","days_since_fertilizer"
38,"EST1-11",115,35.3,7.2,0.14,4.44,1.144,1.767,11.64,4.3,62.4008722,19.154354684,3.906837216,0.0759662792,2.4092162832,0.62075302432,0.95880296676,6.3160534992,2.333250004,8691.84,"HT",NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY12","2012-08-09 07:41:59","2012-08-10 15:45:00","2012-08-09 07:39:59","2012-08-10 16:00:00",0.4199,"2012-08-09 00:40:00","2012-08-10 05:38:00",1.819,28.9666666666667,0.0627963176064442,0.768,0.6,0.472,0.38,0.28,982.125358271486,3.73207636143165,1147.65697608693,4.36109650913032,0,0,1.066,1.475,5.47,3.665,5.47,3.59,5.47,5.59571428571429,16.2,6.7,21.5,-0.615284599963327,-0.788305055830526,23.3,13.3,1.98819005,0,0,0,"before","before",94,94
39,"ESW1-17",199,26.3,3.5,0.05,3.01,1.06,1.34,6.51,2.96,135.99549754,17.973274298,2.39188061,0.034169723,2.0570173246,0.7243981276,0.9157485764,4.4488979346,2.0228476016,10946.88,"HT",NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY13","2012-10-14 04:45:00","2012-10-15 18:29:59","2012-10-14 04:30:00","2012-10-15 18:45:00",0.4864,"2012-10-14 04:30:00","2012-10-15 00:47:00",2.457,20.2833333333333,0.12113393590797,0.864,0.81,0.72,0.648,0.477,1594.30374331414,10.3310882566756,1724.81051851791,11.1767721599961,0,0,0,0,21.1,10.915,21.1,7.28333333333333,21.1,3.12142857142857,21.1,1.56071428571429,21.1,-0.974100455172421,0.226115685508288,12.8,2.8,2.01968613,0,0,0,"before","before",160,160
40,"ESW1-18",314,35.9,3.8,0.08,4.05,1.11,1.54,7.85,3.97,141.75877284,16.207452054,1.715552028,0.0361168848,1.828417293,0.5011217766,0.6952500324,3.543969321,1.7923004082,7231.68,"HT",NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY13","2012-10-17 21:27:59","2012-10-18 13:12:59","2012-10-17 21:15:00","2012-10-19 15:00:00",0.5574,"2012-10-17 18:46:00","2012-10-19 12:58:00",0.72,42.2,0.0170616113744076,0.54,0.432,0.396,0.342,0.315,420.76495202226,1.43901613591613,443.332487009669,1.51619710557307,0,0,2.457,2.457,50.6,40.4,50.6,56.3666666666667,88.3,44.85,123,22.425,123,-0.956234826591906,0.292600335633348,20.6,5.6,0.6299216,0,0,0,"before","before",0,163
42,"ESW1-19",705,91.6,5.4,1.34,10.1,0.892,2.85,15.5,8.76,68.447322,8.89329744,0.52427736,0.130098456,0.98059284,0.0866028528,0.27670194,1.5048702,0.850494384,1555.2,"HT",NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY13","2012-11-11 17:41:00","2012-11-12 10:00:00","2012-11-11 17:30:00","2012-11-12 10:14:59",0.0757,"2012-11-11 14:35:00","2012-11-11 22:21:00",0.837,7.76666666666667,0.107768240343348,0.648,0.432,0.324,0.27,0.189,467.049773199418,1.26103438763843,540.720321979147,1.4599448693437,0,0,0,0,4.46,4.215,4.46,4.13333333333333,4.46,4.15714285714286,4.46,5.15928571428571,8.88,-0.758305808478563,0.651898995878712,17.8,-3.3,0.83858313,0,0,0,"before","before",0,22
45,"ESW1-20",152,97.2,39.6,0.59,2.9,0.541,0.866,42.5,2.31,159.38031744,101.919518784,41.522766912,0.6186472848,3.040808688,0.56726810352,0.90804838752,44.5635756,2.4221614032,16796.16,NA,NA,NA,NA,NA,NA,NA,"TRUE",NA,"SW1","WY13","2013-01-10 19:59:59","2013-01-13 14:30:00","2013-01-10 19:54:59","2013-01-13 14:44:59",0.2092,"2013-01-10 19:21:00","2013-01-11 07:21:00",0.261,12,0.02175,0.216,0.162,0.144,0.126,0.09,108.79042506265,0.137075935578939,124.978710680211,0.157473175457066,0,0,0,0,8,5.85,8,5.13333333333333,8,4.33,8,4.17,8,0.188226709843243,0.982125605868001,7.2,-11.7,0.46850419,0,3.24803325,-7.0078778,"before","before",0,82
46,"ESW1-21",135,11.8,5.6,0.78,3.43,0.739,1,9.03,2.65,122.4042003,10.699033804,5.077507568,0.7072242684,3.1099733854,0.67004965942,0.90669778,8.1874809534,2.402749117,14523.84,NA,NA,NA,NA,NA,NA,NA,"TRUE",NA,"SW1","WY13","2013-01-29 01:00:00","2013-01-30 06:45:00","2013-01-29 00:00:00","2013-01-30 08:15:00",0.599,"2013-01-29 00:00:00","2013-01-30 00:38:00",0.64,24.6333333333333,0.0259810554803789,0.756,0.594,0.504,0.396,0.324,395.309769652647,1.56542668782448,405.397683427883,1.60537482637442,0,0,0,0,27,16,27,11.6666666666667,27,6.42857142857143,27,6.94285714285714,27,0.478733840115788,0.877960084700888,7.2,-8.9,1.16141795,8.1889808,5.0000027,3.9763801,"before","before",0,101
48,"ESW1-22",147,4.5,1.1,0.55,1.29,0.173,0.277,2.39,0.74,420.94455774,12.88605789,3.149925262,1.574962631,3.6940032618,0.49539733666,0.79320845234,6.8439285238,2.1190406308,45869.76,"HT",NA,NA,NA,NA,NA,NA,"TRUE",NA,"SW1","WY13","2013-03-09 21:15:00","2013-03-13 00:35:00","2013-03-09 21:09:59","2013-03-13 00:40:00",0.8837,"2013-03-09 16:08:00","2013-03-11 22:18:00",1.161,53.1666666666667,0.0218369905956113,0.216,0.216,0.18,0.144,0.126,491.759988848595,0.708134383941976,584.666938163937,0.841920390956069,0,0,0,0,100,58.5,100,43.6666666666667,100,26.2857142857143,100,21.0714285714286,100,0.927541683579196,0.37371971479047,3.3,-6.7,1.21653609,0.5118113,4.6063017,-2.9921276,"before","before",0,140
50,"ESW1-23a,ESW1-23b",490.291767137444,13.3035825008612,2.32948673785739,0.988384429900103,3.88435756114364,0.417689631415777,0.923227695487427,6.21384429900103,2.89597313124354,1535.41744692,41.662034828,7.2951145,3.0952644928,12.1644106004,1.30805367428,2.8912170388,19.4595251004,9.0691461076,50163.84,"HT, HT","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","TRUE, TRUE","NA, NA","SW1","WY13","2013-03-27 10:00:00","2013-03-30 09:27:59","2013-03-27 10:00:00","2013-03-30 09:27:59",0.7873,"2013-03-27 10:00:00","2013-03-27 10:01:00",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,56.5,70,53.3333333333333,70,51.8571428571429,70,71.1428571428571,160,0.995918996147179,0.0902516100310421,8.9,-3.3,0.14960638,0,2.50000135,-4.0157502,"before","before",0,158
51,"ESW1-23c",1999,29,4.7,1.42,10.2,0.632,2.78,14.9,8.78,3131.15268048,45.42442608,7.361889744,2.2242305184,15.976867104,0.98993921664,4.3544794656,23.338756848,13.7526365856,25090.56,"HT",NA,NA,NA,NA,NA,NA,"TRUE",NA,"SW1","WY13","2013-03-30 09:27:59","2013-04-01 00:26:00","2013-03-30 09:27:59","2013-04-01 00:26:00",0.4762,"2013-03-30 09:27:59","2013-03-30 23:35:00",0.081,14.1169444444444,0.00573778556108695,0.108,0.108,0.108,0.072,0.054,34.6067811366747,0.0249168824184058,37.0552774975682,0.0266797997982491,0,0,0,0,294,297,300,258,300,140.428571428571,300,100.714285714286,300,0.999250011239683,0.0387222808921754,7.2,-4.3,0.16141741,0,0.328084166666667,-2.0078751,"before","before",0,161
53,"ESW1-23d",219,79.8,1.6,1.08,5.3,0.874,1.68,6.9,4.22,48.31280598,17.604392316,0.352970272,0.2382549336,1.169214026,0.19281001108,0.3706187856,1.522184298,0.9309590924,3533.76,"HT",NA,NA,NA,NA,NA,NA,"TRUE",NA,"SW1","WY13","2013-04-06 09:11:59","2013-04-07 08:12:00","2013-04-06 09:11:59","2013-04-07 08:12:00",0.0788,"2013-04-06 09:11:59","2013-04-06 11:35:00",0.036,2.38361111111111,0.0151031348327701,0.108,0.054,0.072,0.036,0.036,17.3832406168961,0.00625796662208261,18.9333585187981,0.00681600906676733,0,0,0.081,0.081,162,173,184,178.333333333333,189,231.714285714286,318,186.071428571429,318,0.99665890175417,-0.0816763953304215,10,-1,0.1181103,1.4173236,0.5905515,0,"before","before",0,168
55,"ESW1-24a",358,84.3,5.2,0.91,5.9,0.691,1.53,11.1,4.99,73.57035324,17.323968654,1.068619656,0.1870084398,1.212472302,0.14200311198,0.3144207834,2.281091958,1.0254638622,3291.84,"HT",NA,NA,NA,NA,NA,NA,"TRUE",NA,"SW1","WY13","2013-04-08 09:11:59","2013-04-09 09:40:59","2013-04-08 09:11:59","2013-04-09 09:40:59",0.0845,"2013-04-08 09:11:59","2013-04-08 12:45:00",0.207,3.55027777777778,0.0583052969251232,0.216,0.162,0.144,0.108,0.09,89.1507629591815,0.096282823995916,109.48617975267,0.118245074132884,0,0.036,0.036,0.117,175,176.5,178,171.666666666667,178,194.428571428571,261,204.428571428571,318,0.993256849267414,-0.1159345995955,3.9,0,0.76771695,0.1181103,0,0,"before","before",0,170
56,"ESW1-24b,ESW1-24c",1177.54340962905,50.1778413575375,19.0255327545383,0.86473954222573,7.98825966850829,0.566976519337017,2.18439423835833,27.0137924230466,7.12352012628256,3218.9065702,137.165035194,52.007774732,2.36383285,21.83652961,1.54987444906,5.9712116838,73.844304342,19.47269676,43787.52,"HT, HT","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","TRUE, TRUE","NA, NA","SW1","WY13","2013-04-09 09:42:00","2013-04-11 08:42:00","2013-04-09 09:40:59","2013-04-11 08:42:00",1.404,"2013-04-09 09:40:59","2013-04-10 14:31:00",0.869,28.8336111111111,0.0301384379726592,2.652,1.38,0.92,0.46,0.306,614.879122613714,2.82844396402308,636.58245144822,2.92827927666181,0.189,0.207,0.243,0.324,200,187.5,200,184.333333333333,200,185.714285714286,212,215.642857142857,318,0.991114063993455,-0.133014706534195,2.8,-0.5,1.78740254,3.149608,1.70603766666667,1.968505,"before","before",0,171
57,"ESW1-24d",239,65.1,21.1,0.7,3.49,0.499,0.837,24.59,2.79,243.6433398,66.36477582,21.50993502,0.71359974,3.557804418,0.5086946718,0.8532614034,25.067739438,2.844204678,16329.6,"HT",NA,NA,NA,NA,NA,NA,"TRUE",NA,"SW1","WY13","2013-04-11 08:42:59","2013-04-13 23:17:59","2013-04-11 08:42:00","2013-04-13 23:17:59",0.1761,"2013-04-11 08:42:00","2013-04-12 15:37:00",0.198,30.9166666666667,0.00640431266846361,0.108,0.108,0.072,0.054,0.054,72.539307126835,0.0391712258484909,63.0709046089267,0.0340582884888204,0.311,0.869,1.112,1.193,605,680.5,756,520.333333333333,756,322.857142857143,756,295,756,0.985948149963831,-0.167051625502118,3.9,-0.5,0.53149635,3.3070884,2.362206,0,"before","before",0,173
59,"ESW1-24e",2981,55.9,17.1,0.56,12.9,0.511,3.55,30,12.34,1472.82887048,27.618629272,8.448632568,0.2766803648,6.373529832,0.25247083288,1.753955884,14.8221624,6.0968494672,7914.24,"HT",NA,NA,NA,NA,NA,NA,"TRUE",NA,"SW1","WY13","2013-04-15 01:47:00","2013-04-15 18:00:00","2013-04-15 01:47:00","2013-04-15 18:00:00",0.5709,"2013-04-15 01:47:00","2013-04-15 15:32:00",0.342,13.75,0.0248727272727273,0.648,0.648,0.468,0.324,0.207,221.674401599375,0.718225061181976,232.874025702786,0.754511843277028,0,0,1.274,1.31,208,182,208,215.333333333333,282,364.571428571429,756,279.5,756,0.972118196629062,-0.234491389570408,15.6,3.3,0.33070884,0,0,-1.968505,"before","before",0,177
61,"ESW1-25",235,83.7,12.2,0.44,3.29,0.502,0.928,15.49,2.85,104.1920346,37.110099132,5.409118392,0.1950829584,1.4586884844,0.22257192072,0.41144769408,6.8678068764,1.263605526,7102.08,"HT",NA,NA,NA,NA,NA,NA,"TRUE","Komiskey, Matthew J.:Difficult to define end of frozen ground…went by end of storm, despite soil temp probe being above freezing","SW1","WY13","2013-04-17 13:14:59","2013-04-19 21:29:59","2013-04-17 13:14:59","2013-04-19 21:45:00",0.1235,"2013-04-17 13:14:59","2013-04-19 09:42:00",0.342,44.4502777777778,0.007693990163791,0.216,0.162,0.144,0.144,0.117,144.080817394739,0.207476377048424,154.215118338039,0.222069770406776,0,0.018,0.779,1.652,121,166.5,212,180.333333333333,212,275.571428571429,605,269.5,756,0.963470548564149,-0.267814305162174,7.8,-2.1,0.35039389,0,0,0,"before","before",0,179
64,"ESW1-26",1094,54.2,19.3,0.32,4.84,0.567,1.65,24.14,4.52,1786.76744816,88.521751088,31.521582952,0.5226376448,7.9048943776,0.92604857688,2.694850356,39.4264773296,7.3822567328,26161.92,"HT",NA,NA,NA,"HT",NA,"HT","FALSE",NA,"SW1","WY13","2013-05-02 17:55:00","2013-05-06 07:59:59","2013-05-02 17:53:00","2013-05-06 08:15:00",0.659,"2013-05-02 14:55:00","2013-05-03 21:07:00",1.847,30.2,0.061158940397351,0.972,0.708,0.616,0.524,0.379,1203.60618884504,6.30689642954801,1279.61819668818,6.70519935064607,0,0,0,0.027,24.7,23.85,24.7,23.9666666666667,24.7,25.1428571428571,30.9,50.6785714285714,177,0.863142128049912,-0.504961054721519,22.8,1.7,1.46850473,0,0,0,"before","before",0,194
69,"ESW1-27",3185,79.4,37.6,0.27,10.6,0.49,3.15,48.2,10.33,1396.6732689,34.818165636,16.488199344,0.1183993038,4.648268964,0.2148728106,1.381325211,21.136468308,4.5298696602,7024.32,"HT",NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY13","2013-07-08 06:20:00","2013-07-08 15:15:00","2013-07-08 06:18:59","2013-07-08 15:15:00",2.21,"2013-07-08 05:19:00","2013-07-08 10:09:00",1.798,4.83333333333333,0.372,2.316,1.818,1.464,1.008,0.9,1662.22390863089,16.7552169989994,1594.61523959384,16.0737216151059,0,0,0,0,65.1,33.555,65.1,23.1866666666667,65.1,11.8514285714286,65.1,11.8214285714286,65.1,-0.111659007121694,-0.993746580436178,28.3,19.4,1.2598432,0,0,0,"before","before",30,30
73,"ESW1-28",558,17.2,0.7,0.32,4.51,0.623,1.78,5.21,4.19,16.85454624,0.519530816,0.021143696,0.0096656896,0.1362258128,0.01881788944,0.0537653984,0.1573695088,0.1265601232,483.84,"HT",NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY14","2013-10-31 23:12:59","2013-11-01 04:59:59","2013-10-31 23:06:59","2013-11-01 05:15:00",0.0616,"2013-10-31 13:19:00","2013-11-01 02:39:00",1.125,13.3333333333333,0.084375,0.432,0.378,0.324,0.252,0.18,580.709517036327,1.46338798293154,690.894089030741,1.74105310435747,0,0,0,0,23.7,13.66,23.7,9.31,23.7,4.34142857142857,23.7,2.55142857142857,23.7,-0.858763958275803,0.512371412128423,14.4,6.1,1.40944958,0,0,0,"before","before",0,16
75,"ESW1-29",304,17.3,1.7,0.05,2.94,0.454,1.09,4.64,2.89,24.92367104,1.418353648,0.139375792,0.004099288,0.2410381344,0.03722153504,0.0893644784,0.3804139264,0.2369388464,1313.28,"HT",NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY14","2013-11-05 19:45:00","2013-11-06 16:14:59","2013-11-05 19:43:00","2013-11-06 16:30:00",0.0447,"2013-11-05 16:10:00","2013-11-06 10:22:00",0.855,18.2,0.046978021978022,0.216,0.162,0.18,0.144,0.117,373.453640281555,0.53777324200544,455.240845426703,0.655546817414453,0,0,1.125,1.125,44.2,24.285,44.2,18.33,44.2,16.6442857142857,44.2,8.62928571428571,44.2,-0.811539059007362,0.584298173628367,12.2,-0.5,1.38976453,0,0,0,"before","before",0,21
