"stormnum","StartDate","EndDate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy","erosivity_m1","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","site"
"32",2012-05-02 23:55:00,2012-05-03 11:25:00,2.986,11.5,0.259652173913043,8.148,5.34,3.74,1.996,1.068,2787.19681995111,55.6324485262241,54.4389079175326,0.505,0.505,0.784,2.278,"SW1"
"EST1-11",2012-08-09 00:39:00,2012-08-09 11:36:00,1.08,10.95,0.0986301369863014,0.324,0.27,0.252,0.234,0.207,559.699067935009,1.30969581896792,1.56788025588247,0,0,1.201,2.222,"SW1"
"SW1-10",2012-05-06 08:50:00,2012-05-06 12:15:00,0.774,3.41666666666667,0.226536585365854,0.540000000000001,0.486,0.504,0.432,0.378,518.153878810794,2.23842475646263,2.42604709702658,0,0.0899999999999999,3.86,3.86,"SW1"
"SW1-11",2012-06-18 17:27:00,2012-06-18 19:07:00,0.492,1.66666666666667,0.2952,1.56,1.218,0.884,0.586,0.393,419.426745805181,2.45784073041836,2.39958841889872,1.176,1.176,1.49,1.49,"SW1"
"SW1-12",2012-07-17 15:32:00,2012-07-17 16:39:00,1.532,1.11666666666667,1.37194029850746,4.584,3.612,3.336,2.758,1.523,1605.0777580985,44.2680445683566,43.0304279609196,0,0,0,0.265,"SW1"
"SW1-1290",2016-09-13 04:10:00,2016-09-13 05:36:00,1.248,1.43333333333333,0.870697674418605,5.34,4.512,3.944,2.136,1.167,1245.91994563626,26.6128500387904,26.3200680015414,0,0,2.88,2.935,"SW1"
"SW1-13",2012-07-25 19:24:00,2012-07-25 20:31:00,1.486,1.11666666666667,1.33074626865672,5.016,4.554,3.98,2.492,1.468,1557.52839139453,38.8136075135518,37.6262936969634,0.103,0.103,0.328,2.264,"SW1"
"SW1-14",2012-07-26 13:51:00,2012-07-26 14:28:00,0.409,0.616666666666667,0.663243243243243,1.44,1.32,1.168,0.799999999999999,0.409,385.849391977244,3.08679513581795,2.8973539801925,1.675,1.778,1.805,3.939,"SW1"
"SW1-15",2012-08-04 16:40:00,2012-08-04 17:39:00,1.066,0.983333333333333,1.08406779661017,3.024,2.118,1.972,1.366,1.066,1096.59865559737,14.9795376354601,14.1892714915659,0,0,0.189,2.745,"SW1"
"SW1-17",2012-10-14 04:49:00,2012-10-15 00:47:00,2.457,19.9666666666667,0.1230550918197,0.864,0.810000000000001,0.72,0.648,0.477,1586.72892773547,10.2820034517259,11.128516889448,1.215,1.368,1.773,1.773,"SW1"
"SW1-18",2012-10-17 18:45:00,2012-10-18 00:50:00,0.63,6.08333333333333,0.103561643835616,0.54,0.432,0.396,0.342,0.315,381.827557672574,1.3058502472402,1.44590251474274,0,0,3.825,4.23,"SW1"
"SW1-19",2012-11-11 14:34:00,2012-11-11 22:21:00,0.837,7.78333333333333,0.107537473233405,0.648,0.432,0.324,0.27,0.189,459.47495762075,1.24058238557603,1.43983850661531,0,0.018,0.063,0.063,"SW1"
"SW1-20",2013-01-10 19:20:00,2013-01-11 02:07:00,0.252,6.78333333333333,0.0371498771498772,0.216,0.162,0.144,0.126,0.09,98.4207008151607,0.124010083027103,0.148079562221803,0,0.027,0.027,0.027,"SW1"
"SW1-21",2013-01-29 01:28:00,2013-01-29 03:26:00,0.396,1.96666666666667,0.20135593220339,0.756,0.594,0.504,0.396,0.324,265.194768064616,1.05017128153588,1.12552827639463,0.234,0.234,0.234,0.243,"SW1"
"SW1-22",2013-03-09 16:07:00,2013-03-09 23:32:00,0.405,7.41666666666667,0.0546067415730337,0.216,0.162,0.108,0.108,0.09,165.993851108228,0.179273359196886,0.224122041853041,0.036,0.036,0.045,0.054,"SW1"
"SW1-23",2013-03-30 18:10:00,2013-03-30 19:54:00,0.072,1.73333333333333,0.0415384615384615,0.108,0.108,0.108,0.072,0.054,24.2263832998089,0.0174429959758624,0.0209848464430926,0,0,0,0,"SW1"
"SW1-24",2013-04-08 09:11:00,2013-04-08 12:45:00,0.207,3.56666666666667,0.0580373831775701,0.216,0.162,0.144,0.108,0.09,81.5759473805133,0.0881020231709544,0.11020252904153,0,0.036,0.036,0.117,"SW1"
"SW1-25",2013-04-17 14:01:00,2013-04-17 16:02:00,0.18,2.01666666666667,0.0892561983471074,0.216,0.162,0.144,0.144,0.117,77.8743717433006,0.112139095310353,0.141548766759804,0,0.018,0.594,1.697,"SW1"
"SW1-26",2013-05-02 14:54:00,2013-05-03 03:16:00,1.433,12.3666666666667,0.115876010781671,0.876,0.708,0.616,0.524,0.379,948.33349429603,4.9692675101112,5.32805024571696,0,0,0.432,0.495,"SW1"
"SW1-27",2013-07-08 05:18:00,2013-07-08 10:09:00,1.798,4.85,0.370721649484536,2.316,1.818,1.464,1.008,0.9,1654.64909305222,16.6788628579664,15.9986578609199,0,0,0.018,0.77,"SW1"
"SW1-28",2013-10-31 13:18:00,2013-11-01 02:39:00,1.125,13.35,0.0842696629213483,0.432000000000001,0.378,0.324,0.252,0.18,573.134701457659,1.4442994476733,1.72228716581097,0.468,0.468,0.468,0.549,"SW1"
"SW1-29",2013-11-05 16:09:00,2013-11-06 10:22:00,0.855,18.2166666666667,0.0469350411710888,0.216,0.162,0.18,0.144,0.117,365.878824702887,0.526865507572157,0.644823423959315,0,0,1.8,1.8,"SW1"
"SW1-30",2013-11-17 08:08:00,2013-11-17 12:53:00,0.54,4.75,0.113684210526316,0.539999999999999,0.378,0.324,0.216,0.18,308.375290055083,0.666090626518979,0.761895527905758,0.362,0.362,0.398,1.46,"SW1"
"SW1-32",2014-03-27 15:35:00,2014-03-27 23:53:00,0.477,8.3,0.0574698795180723,0.432,0.324,0.252,0.216,0.189,239.185433726378,0.516640536848977,0.602397436609216,0,0,0,0,"SW1"
"SW1-33",2014-04-12 10:06:00,2014-04-12 18:16:00,1.056,8.16666666666667,0.12930612244898,1.116,0.611999999999999,0.504,0.432,0.378,685.697553889137,2.96221343280107,3.20637675206528,0,0,0.009,0.108,"SW1"
"SW1-34",2014-05-12 04:30:00,2014-05-12 07:53:00,0.782,3.38333333333333,0.231133004926108,1.464,1.056,0.883999999999999,0.77,0.602,646.903936912093,4.98116031422311,4.94814835267916,0.27,0.27,0.747,1.512,"SW1"
"SW1-35",2014-06-01 15:53:00,2014-06-02 05:18:00,2.48,13.4166666666667,0.184844720496894,3.528,2.382,2.388,1.448,0.862,2113.56011364475,30.6043504455759,30.5594495907201,0,0,0.171,0.864,"SW1"
"SW1-36",2014-06-18 02:18:00,2014-06-18 12:48:00,1.072,10.5,0.102095238095238,1.092,0.977999999999999,0.832,0.578,0.37,658.105930465911,3.80385227809296,4.18329906190882,0.162,0.585,0.684,0.702,"SW1"
"SW1-37",2014-08-11 21:01:00,2014-08-12 08:53:00,1.777,11.8666666666667,0.149747191011236,1.44,1.158,1.024,0.872,0.769,1264.2870182328,11.0245827989901,11.4989050171499,0,0,0,1.117,"SW1"
"SW1-38",2014-09-04 19:31:00,2014-09-04 21:54:00,0.699,2.38333333333333,0.293286713286713,2.184,1.65,1.392,0.876,0.6,611.749916595036,5.35892926937251,5.25196616269268,0.162,0.162,0.54,0.904,"SW1"
